Reksadana,Jenis,Resiko,Price,1M,YTD,1Y,3Y,AUM/VAL
Asuransi Kresna Mitra,Saham,Tiggi,Rp12,"-15,38","-78,00","-78,00","-96,31","2,05M"
Atlas Resources,Saham,Tiggi,Rp242,"-6,98","10,09","-0,83","-17,24","42,3K"
Bakrie & Brothers,Saham,Tiggi,Rp49,"17,07","-4,00","-4,00","-4,00","2,37M"
Bakrie Sumatera,Saham,Tiggi,Rp130,"36,84","15,04","15,04","19,27","810,3K"
Bakrie Telecom,Saham,Tiggi,Rp50,"0,00","0,00","0,00","0,00",0
Bakrieland,Saham,Tiggi,Rp14,"-13,33","-74,00","-74,00","-74,00","20,55M"
Bank Artha Graha,Saham,Tiggi,Rp206,"78,72","130,14","147,06","15,07","597,18M"
Bank Negar,Saham,Tiggi,Rp4.900,"-13,78","-9,77","-4,43","-30,96","24,69M"
Bank Bukopin,Saham,Tiggi,Rp56,"-12,90","-32,50","-30,77","-84,01","177,73M"
Bank Capital Indonesia,Saham,Tiggi,Rp131,"-5,76","-0,76","0,77","-56,62","643,2K"
Bank Danamon,Saham,Tiggi,Rp2.570,"-3,82","-9,35","-8,36","1,61","1,21M"
Bank Woori Indonesia,Saham,Tiggi,Rp446,"-4,76","-18,68","-19,39","-29,03",251K
Bank Mnc Internasional,Saham,Tiggi,Rp61,"-13,24","-1,67","-3,28","-72,94","11,91M"
Bank Ina Perdana,Saham,Tiggi,Rp4.100,"-1,21","0,00","-1,92","12,05",53K
Bank Maybank Indonesia,Saham,Tiggi,Rp220,"-5,22","-9,92","-11,38","-44,67",169K
Bank Mandiri Persero,Saham,Tiggi,Rp6.350,"-13,54","2,89","5,96","71,72","68,71M"
Bank Mayapada,Saham,Tiggi,Rp204,"-12,93","-20,95","-10,73","-72,89","653,1K"
Bank Mega,Saham,Tiggi,Rp4.810,"-3,61","-5,69","-9,67","-2,88",400
Bank Mestika Dharma,Saham,Tiggi,Rp1.990,"-2,50","-2,50","1,56","-5,34","34,1K"
Bank Nationalnobu,Saham,Tiggi,Rp685,"-7,69","-10,81","-13,73","-25,84","1,44M"
Bank Pembangunan,Saham,Tiggi,Rp955,"-3,08","-17,83","-16,00","-32,07","638,2K"
Bank Pan Indonesia,Saham,Tiggi,Rp1.880,"-6,36","52,07","70,37","134,39","4,34M"
Bank Panin Syariah,Saham,Tiggi,Rp52,"-7,27","-5,56","-8,93","-44,57","12,34M"
Bank Pembangunan Timur,Saham,Tiggi,Rp545,"-5,26","-13,60","-12,90","-28,95","1,36M"
Bank Permata,Saham,Tiggi,Rp1.090,"1,40","18,48","17,84","-37,71","77,5K"
Bank Pembangunan,Saham,Tiggi,Rp36,"9,38","-30,00","-30,00","-48,53","7,02M"
Bank Rakyat Persero,Saham,Tiggi,Rp4.440,"-13,23","-24,37","-16,73","1,17","298,73M"
Bank Sinarmas,Saham,Tiggi,Rp775,"-7,98","-15,73","-15,25","-23,86",6K
Bank Tabungan Negara,Saham,Tiggi,Rp1.295,"-14,77","1,60","0,79","-26,62","10,59M"
Bank Tabungan,Saham,Tiggi,Rp2.300,"-1,71","-11,97","-12,64","-15,13","19,7K"
Bank Victoria,Saham,Tiggi,Rp97,"-1,04","-4,04","5,56","-46,02","9,01M"
Bank Windu,Saham,Tiggi,Rp80,"1,28","1,28","0,00","-39,23","3,37M"
Baramulti Suksessarana,Saham,Tiggi,Rp4.270,"-7,64","9,59","11,61","36,01",306K
Barito Pacific,Saham,Tiggi,Rp860,"-17,24","-36,84","-19,23","-17,30","64,03M"
Bayan Resources,Saham,Tiggi,Rp18.000,"4,80","-9,55","-8,16","592,31","19,3K"
Bekasi Asri Pemula,Saham,Tiggi,Rp58,"-9,68","-16,42","-13,85","-25,33","331,4K"
Bekasi Fajar,Saham,Tiggi,Rp108,"-17,32","-23,36","-24,46","-19,23","4,46M"
Astrindo Nusantara Infrasruktur Tbk PT,Saham,Tiggi,Rp76,"8,70","-28,57","-33,04","41,51","231,46M"
Berlina,Saham,Tiggi,Rp715,"10,00","-27,04","-21,86","-41,87",300
Betonjaya Manunggal,Saham,Tiggi,Rp400,"-2,93","-10,36","-9,13","-2,93","13,7K"
BFI Finance,Saham,Tiggi,Rp950,"-1,05","-21,58","-15,25","-10,85","23,84M"
Bhuwanatala Indah,Saham,Tiggi,Rp31,"6,90","-38,00","-38,00","-42,59",300
Bisi International,Saham,Tiggi,Rp1.140,"-21,05","-29,69","-27,42","11,39","632,2K"
Bank Central Asia,Saham,Tiggi,Rp10.150,"-5,62","7,18","14,81","35,69","58,58M"
Bank Rakyat,Saham,Tiggi,Rp238,"-18,57","-26,45","-8,80","-89,16","12,2M"
Buana Listya Tama,Saham,Tiggi,Rp113,"-22,38","-27,92","6,73","-56,98","26,85M"
Budi Starch & Sweetener,Saham,Tiggi,Rp228,"-5,08","-19,42","-8,20","24,44","66,6K"
Bukit Darmo,Saham,Tiggi,Rp48,"-4,00","-5,88","-20,00","-5,88","67,4K"
Bukit Uluwatu Villa,Saham,Tiggi,Rp66,"8,93","0,00","22,00","1,67","1,07M"
Bumi Citra Permai,Saham,Tiggi,Rp54,"-18,75","-13,33","-16,13","-60,31","2,28M"
Bumi Resources Min,Saham,Tiggi,Rp444,"26,16","155,29","149,43","321,24","615,18M"
Bumi Resources,Saham,Tiggi,Rp151,"6,52","72,94","33,64","113,04","1,12B"
Bumi Serpong Damai,Saham,Tiggi,Rp1.030,"-20,47","-6,48","-2,42","-14,77","7,67M"
Bumi Teknokultura,Saham,Tiggi,Rp4,"0,00","-94,00","-94,00","-94,00","29,59M"
Eagle High,Saham,Tiggi,Rp66,"6,67","18,52","14,29","-28,09","11,46M"
Capitalinc Inv,Saham,Tiggi,Rp6,"0,00","-90,00","-90,00","-90,00","20,36M"
Capitol Nusantara,Saham,Tiggi,Rp50,"6,38","0,00","-3,85","-75,25","20,6K"
Cardig Aero,Saham,Tiggi,Rp1.715,"8,25","89,44","143,57","224,76","33,8K"
Catur Sentosa,Saham,Tiggi,Rp468,"-6,40","-22,64","-27,44","-19,31","2,6K"
Central Proteina,Saham,Tiggi,Rp50,"0,00","-1,96","-5,66","-60,32","2,55M"
Centratama Telekom,Saham,Tiggi,Rp45,"-19,64","-18,18","-30,77","-85,00","100,6K"
AirAsia Indonesia Tbk PT,Saham,Tiggi,Rp89,"1,19","-32,00","-36,57","-53,80","330,4K"
Champion Pacific,Saham,Tiggi,Rp505,"-0,40","13,70","14,22","19,14","270,3K"
Chandra Asri Petro,Saham,Tiggi,Rp6.650,"-27,04","23,33","124,05","260,98","5,54M"
Charoen Pokphand Indonesia,Saham,Tiggi,Rp4.800,"-6,73","-6,27","-12,78","-20,84","2,7M"
Ciputra Dev,Saham,Tiggi,Rp1.110,"-19,93","-7,26","-3,12","-6,47","10,06M"
Citatah,Saham,Tiggi,Rp24,"0,00","100,00","-52,00","-52,00","50,7K"
Citra Marga,Saham,Tiggi,Rp1.415,"-4,08","-15,32","-9,03","2,92","81,8K"
Clipan Finance,Saham,Tiggi,Rp332,"-20,00","-33,06","-32,23","22,39","801,7K"
Colorpak Indonesia,Saham,Tiggi,Rp1.070,"-0,93","7,61","5,47","2,42","44,8K"
Cowell Development,Saham,Tiggi,Rp50,"0,00","0,00","0,00","0,00",0
Darma Henwa,Saham,Tiggi,Rp124,"27,08","103,33","71,83","144,00","519,91M"
Darya-Varia,Saham,Tiggi,Rp1.635,"-4,68","-2,10","-3,26","-33,47","21,5K"
Delta Dunia Makmur,Saham,Tiggi,Rp665,"-13,10","78,98","62,37","112,84","5,02M"
Dharma Samudera,Saham,Tiggi,Rp58,"-12,31","-16,18","-21,92","-49,11","1,26M"
Dharma Satya,Saham,Tiggi,Rp1.235,"7,62","116,22","118,18","105,13","14,05M"
Duta Pertiwi Nusantara,Saham,Tiggi,Rp336,"-0,59","-20,00","-30,29","-20,38","1,8K"
Duta Anggada,Saham,Tiggi,Rp183,"1,71","39,06","34,85","-33,08","220,9K"
Duta Pertiwi,Saham,Tiggi,Rp4.370,"-0,68","-5,41","-2,46","30,45",300
Dyandra Media,Saham,Tiggi,Rp97,"-16,67","11,76","7,95","13,10","4,47M"
Ekadharma,Saham,Tiggi,Rp224,"-2,61","-9,68","-9,68","-24,83","409,3K"
Electronic City Ind,Saham,Tiggi,Rp166,"-36,51","-44,44","-50,31","-82,98","855,5K"
Elnusa,Saham,Tiggi,Rp456,"-6,58","17,01","10,73","54,42","13,64M"
Energi Mega Persada,Saham,Tiggi,Rp264,"8,33","18,18","20,37","126,09","66,3M"
Erajaya Swasembada,Saham,Tiggi,Rp444,"-3,96","2,35","24,57","-32,92","4,09M"
Eterindo Wahanatama,Saham,Tiggi,Rp77,"0,00","-27,84","-31,37","12,90",0
Eureka Prima Jakarta,Saham,Tiggi,Rp117,"0,00","0,00","0,00","0,00",0
Exploitasi Energi,Saham,Tiggi,Rp7,"16,67","-86,00","-86,00","-86,00","793,1K"
Express Transindo,Saham,Tiggi,Rp7,"40,00","-86,00","-86,00","-86,00","28,53M"
Fajar Surya Wisesa,Saham,Tiggi,Rp5.500,"-6,78","-5,17","-5,58","-27,63",100
First Media,Saham,Tiggi,Rp100,"44,93","38,89","33,33","-86,93",19K
Fortune Indonesia,Saham,Tiggi,Rp4.790,"35,82","0,00","0,00","0,00","239,8K"
Fortune Mate,Saham,Tiggi,Rp545,"121,54","70,31","75,81","29,15",0
Aksara Global Development Tbk PT,Saham,Tiggi,Rp18,"0,00","0,00","0,00","-64,00",0
Gajah Tunggal,Saham,Tiggi,Rp1.170,"-4,53","12,08","32,57","63,38","3,99M"
Garda Tujuh Buana,Saham,Tiggi,Rp254,"-13,38","-41,15","-49,80","228,00","173,2K"
Garuda Indonesia,Saham,Tiggi,Rp56,"-12,50","-18,84","-35,63","-74,77","7,27M"
Gema Grahasarana,Saham,Tiggi,Rp242,"-6,30","-15,00","-12,50","-31,21","21,6K"
Global Mediacom,Saham,Tiggi,Rp202,"-11,61","-26,12","-23,85","-27,74","32,97M"
Globe Kita Terang Tbk PT,Saham,Tiggi,Rp65,"-4,41","-40,37","-43,97","-68,75",500
Golden Eagle Energy,Saham,Tiggi,Rp715,"-8,92","-23,12","-43,03","264,80","17,4K"
Visi Telekomunikasi,Saham,Tiggi,Rp318,"-4,79","-2,80","-3,47","-30,50","363,9K"
Gowa Makassar,Saham,Tiggi,Rp3.800,"-14,90","-85,17","-76,48","-78,83","10,3K"
Gozco Plantations,Saham,Tiggi,Rp102,"12,36","-16,67","19,05","96,08","5,19M"
Graha Layar Prima,Saham,Tiggi,Rp2.000,"-4,76","-5,21","-4,31","-37,50",0
Grand Kartech,Saham,Tiggi,Rp436,"0,00","0,00","0,00","0,00",0
Greenwood Sejahtera,Saham,Tiggi,Rp135,"-3,68","-14,94","-19,14","-35,78","448,6K"
Gudang Garam,Saham,Tiggi,Rp13.300,"-15,38","-35,06","-39,93","-60,33","320,9K"
Gunawan Dianjaya Steel,Saham,Tiggi,Rp112,"-15,20","-19,70","-18,46","2,91","1,88M"
Hanson,Saham,Tiggi,Rp50,"0,00","0,00","0,00","0,00",0
Harum Energy,Saham,Tiggi,Rp1.185,"0,00","0,00","0,00","0,00","5,44M"
Hero Supermarket,Saham,Tiggi,Rp600,"-10,61","-11,61","-16,90","-33,89","59,4K"
Hexindo Adiperkasa,Saham,Tiggi,Rp4.850,"-6,25","-32,20","-44,70","-67,57","291,6K"
Solusi Bangun Indonesia,Saham,Tiggi,Rp745,"-15,79","-10,70","-10,70","5,96","23,6K"
Hotel Mandarine Regency,Saham,Tiggi,Rp50,"0,00","-45,35","-57,64","-56,89",0
Hotel Sahid Jaya,Saham,Tiggi,Rp950,"0,00","0,00","0,00","0,00","9,5K"
Meratus Jasa Prima Tbk PT,Saham,Tiggi,Rp6.050,"-8,54","40,00","-27,49","-24,48","2,96M"
PT MNC Energy Investments Tbk,Saham,Tiggi,Rp44,"110,07","0,00","0,00","0,00","641,6K"
Indah Kiat Pulp & Paper,Saham,Tiggi,Rp7.200,"4,76","-12,00","-12,00","-41,56","1,62M"
Indal Aluminium,Saham,Tiggi,Rp132,"-13,11","-14,41","-17,63","-17,87","93,5K"
Indika Energy,Saham,Tiggi,Rp1.430,"-5,76","-35,78","-35,78","-56,04","4,24M"
Indo Acidatama,Saham,Tiggi,Rp51,"-17,70","-2,79","-7,00","-18,66","304,2K"
Indo Tambangraya,Saham,Tiggi,Rp26.775,"-5,66","-25,37","-24,24","-9,09","1,19M"
Indocement Tunggal,Saham,Tiggi,Rp7.050,"3,19","4,09","4,30","32,34","201,3K"
Indofarma,Saham,Tiggi,Rp126,"-10,42","-26,86","-26,47","-40,86",0
Indofood Cbp,Saham,Tiggi,Rp11.925,"0,00","-78,28","-74,07","-94,66","2,08M"
Indofood,Saham,Tiggi,Rp7.800,"-5,60","11,58","12,38","30,75","5,83M"
Indomobil Multi Jasa,Saham,Tiggi,Rp165,"5,41","20,93","21,40","19,08","1,64M"
Indomobil Sukses,Saham,Tiggi,Rp1.045,"-16,75","-43,21","-47,70","-66,46",550K
Indopoly Swakarsa,Saham,Tiggi,Rp126,"-19,69","-26,88","-29,41","0,49","12,9K"
Indoritel Makmur,Saham,Tiggi,Rp9.100,"0,00","-20,38","-8,76","-30,17","7,6K"
Indosat,Saham,Tiggi,Rp2.450,"0,28","93,62","101,77","178,29","20,78M"
Indospring,Saham,Tiggi,Rp268,"-3,64","-74,61","-73,99","-65,51",974K
Jamu dan Farmasi Sido,Saham,Tiggi,Rp590,"-11,64","-89,64","-90,41","-87,10","6,69M"
Intanwijaya,Saham,Tiggi,Rp585,"-12,12","10,48","16,00","-36,26","4,4K"
Intermedia Capital,Saham,Tiggi,Rp10,"-3,36","6,48","3,60","-10,85",0
Inti Bangun Sejahtera,Saham,Tiggi,Rp5.050,"0,00","-80,00","-80,00","-80,00",100
Intikeramik Alamasri,Saham,Tiggi,Rp11,"1,00","-9,82","-9,82","-39,88","717,7K"
Intiland Development,Saham,Tiggi,Rp172,"-9,09","-80,00","-80,00","-80,00","10,92M"
Intraco Penta,Saham,Tiggi,Rp13,"-19,34","-13,64","-9,52","-2,29","172,4K"
Island Concepts,Saham,Tiggi,Rp37,"-18,75","-74,00","-74,00","-90,37","7,1K"
J Resources,Saham,Tiggi,Rp328,"0,00","-28,00","-28,00","-64,71","234,65M"
Jaya Agra Wattie,Saham,Tiggi,Rp128,"-22,93","259,09","271,76","103,87","2,08M"
Japfa Comfeed Indonesia,Saham,Tiggi,Rp1.740,"-10,16","-36,11","-26,28","-31,55","6,84M"
Jasa Marga,Saham,Tiggi,Rp4.580,"5,92","44,07","43,46","0,00","1,24M"
Jasuindo Tiga Perkasa,Saham,Tiggi,Rp228,"-5,59","-6,37","-2,56","8,57","17,7M"
Jaya Konstruksi,Saham,Tiggi,Rp93,"-22,07","-26,62","-36,16","-18,56","7,8M"
Jaya Real Property,Saham,Tiggi,Rp650,"-8,25","0,00","2,30","-32,58",502K
Jembo Cable Company,Saham,Tiggi,Rp615,"0,00","-7,14","-10,96","32,65",16K
Jakarta Int Hotels & Dev,Saham,Tiggi,Rp1.165,"-1,61","-74,90","-77,24","-89,83","4,64M"
Kawasan Jababeka,Saham,Tiggi,Rp193,"233,33","198,97","191,46","151,08","176,19M"
Kalbe Farma,Saham,Tiggi,Rp1.480,"-2,04","43,28","44,36","11,63","29,23M"
Kedawung Setia,Saham,Tiggi,Rp420,"-11,75","-9,01","-8,72","-8,15","13,4K"
Keramika Indonesia,Saham,Tiggi,Rp24,"-76,60","-75,86","-75,29","-57,36","101,2K"
Kertas Basuki Rachmat,Saham,Tiggi,Rp50,"4,35","60,00","60,00","-52,00",0
Kimia Farma Persero,Saham,Tiggi,Rp640,"0,00","0,00","0,00","0,00","503,9K"
Kmi Wire And Cable,Saham,Tiggi,Rp388,"-15,86","-57,79","-15,28","-74,69","1,55M"
Kobexindo Tractors,Saham,Tiggi,Rp197,"-3,02","14,20","19,88","32,19","1,05M"
Krakatau Steel Persero,Saham,Tiggi,Rp130,"-3,06","21,02","21,79","-39,49","23,82M"
Quantum Clovera Investama Tbk PT,Saham,Tiggi,Rp6,"-26,79","-13,38","-26,79","-76,57","2,31M"
Langgeng Makmur,Saham,Tiggi,Rp105,"-14,29","-88,00","-88,00","-93,55","129,7K"
Lautan Luas,Saham,Tiggi,Rp1.010,"-13,04","-9,91","-15,25","-48,19","152,7K"
Leyand International,Saham,Tiggi,Rp15,"0,50","-22,61","-6,48","41,26",0
Lippo Cikarang,Saham,Tiggi,Rp735,"-23,53","116,67","-13,33","-74,00","112,4K"
Lippo General Insurance,Saham,Tiggi,Rp364,"-16,17","-12,50","-11,95","-49,46","282,5K"
Lippo Karawaci,Saham,Tiggi,Rp113,"1,11","-91,01","-91,91","-84,96","37,17M"
Lenox Pasifik Investama Tbk PT,Saham,Tiggi,Rp72,"-16,03","13,40","26,44","-23,08","7,41M"
Logindo Samudramakmur,Saham,Tiggi,Rp122,"2,94","7,69","-2,78","-41,18","4,72M"
Perusahaan Perkebunan,Saham,Tiggi,Rp1.100,"-5,56","91,94","91,94","83,08","16,05M"
Mahaka Media,Saham,Tiggi,Rp29,"-9,40","19,10","14,59","-22,91","144,7K"
Malindo Feedmill,Saham,Tiggi,Rp795,"-26,32","-46,15","-60,00","-91,65","3,54M"
Mandom Indonesia,Saham,Tiggi,Rp2.290,"-6,67","49,51","50,98","8,45",400
Martina Berto,Saham,Tiggi,Rp96,"-5,46","-17,58","-18,18","-19,28","83,1K"
Matahari,Saham,Tiggi,Rp1.460,"-16,04","-11,00","-22,61","-39,04","1,05M"
Matahari Putra Prima,Saham,Tiggi,Rp84,"-15,22","-29,00","-17,92","-68,37","46,12M"
Mayora Indah,Saham,Tiggi,Rp2.670,"9,46","24,62","39,66","-84,72","5,77M"
Medco Energi,Saham,Tiggi,Rp1.150,"-0,38","6,43","3,92","11,81","32,23M"
Media Nusantara Citra,Saham,Tiggi,Rp304,"-13,64","-1,30","0,00","113,08","14,52M"
Megapolitan Dev,Saham,Tiggi,Rp133,"-8,54","-22,28","-20,21","-69,54","2,38M"
Metrodata Electronics,Saham,Tiggi,Rp640,"0,79","9,40","2,40","-29,28","886,3K"
Metropolitan Land,Saham,Tiggi,Rp414,"0,00","17,76","18,87","-11,02","5,6K"
Midi Utama Indonesia,Saham,Tiggi,Rp424,"-7,59","2,48","7,81","0,00","3,89M"
Millennium Pharma,Saham,Tiggi,Rp183,"-9,09","-2,33","-7,89","103,88","36,82M"
Minna Padi Investama,Saham,Tiggi,Rp10,"11,64","3,16","-4,68","9,40","967,3K"
Mitra Adiperkasa,Saham,Tiggi,Rp1.625,"0,00","25,00","11,11","-80,00","20,74M"
Mitra Int,Saham,Tiggi,Rp8,"-7,78","-10,61","-2,74","93,94","140,6K"
Mitra Investindo,Saham,Tiggi,Rp157,"-11,11","14,29","-11,11","-84,00","73,3K"
Mitra Pinasthika,Saham,Tiggi,Rp995,"-12,36","-17,89","-37,60","-32,17","2,77M"
Mitrabahtera Segara,Saham,Tiggi,Rp1.135,"-4,35","-5,71","-2,46","17,86","1,02M"
Mnc Investama,Saham,Tiggi,Rp39,"-15,29","-10,74","-11,84","27,81","1,28M"
Mnc Kapital Ind,Saham,Tiggi,Rp63,"-7,14","-22,00","-22,00","-32,76","60,15M"
Mnc Land,Saham,Tiggi,Rp161,"-15,49","20,00","17,65","-38,14","74,12M"
Mnc Sky Vision,Saham,Tiggi,Rp74,"-5,42","153,23","137,88","57,00","5,05M"
Modern Internasional,Saham,Tiggi,Rp6,"-22,58","-27,27","-44,62","-78,31","1,63M"
Modernland Realty Ltd,Saham,Tiggi,Rp59,"-25,00","0,00","0,00","-88,00","13,38M"
Mulia Industrindo,Saham,Tiggi,Rp322,"3,77","-11,29","-15,38","7,84","3,35M"
Multi Agro Gemilang Plantation,Saham,Tiggi,Rp50,"-6,43","-26,94","-22,71","-27,27",0
Multi Bintang Ind,Saham,Tiggi,Rp6.600,"0,00","0,00","0,00","0,00","51,4K"
Multi Indocitra,Saham,Tiggi,Rp515,"9,21","-15,81","-16,35","-22,32","8,6K"
Multi Prima Sejahtera,Saham,Tiggi,Rp400,"-0,98","-14,41","-2,88","30,83","125,2K"
Multipolar,Saham,Tiggi,Rp144,"3,65","9,94","9,94","-65,39","140,52M"
Multipolar Technology,Saham,Tiggi,Rp28.200,"-12,74","87,67","87,67","-62,36","271,3K"
Multistrada Arah Sarana,Saham,Tiggi,Rp6.200,"74,10","0,00","0,00","591,43",0
Mustika Ratu,Saham,Tiggi,Rp324,"0,00","62,73","78,67","24,00","40,4K"
Nippon,Saham,Tiggi,Rp980,"-18,88","-14,05","-53,58","2,58","186,7K"
